,date,symbol,pos_type,fut_gap_filled
62,2020-03-24,AAPL,short,-0.8281905321
247,2020-03-24,TSLA,short,-0.9232740951
548,2020-03-24,MSFT,short,-0.6808242134
407,2020-03-24,NFLX,short,0.7448548688
606,2020-03-24,GOOG,short,-0.7211024898
248,2020-03-25,TSLA,short,-0.1518011999
63,2020-03-27,AAPL,long,-0.4516718754
464,2020-03-27,F,long,0.2777791023
249,2020-03-27,TSLA,long,-0.1018997704
549,2020-03-27,MSFT,long,-0.2798188103
607,2020-03-27,GOOG,long,-0.3070944997
465,2020-04-01,F,long,-0.3
64,2020-04-01,AAPL,long,-0.7150184423
250,2020-04-01,TSLA,long,-0.5025005341
550,2020-04-01,MSFT,long,0.008495961373
608,2020-04-01,GOOG,long,-0.811567499
65,2020-04-06,AAPL,short,-0.8398318265
251,2020-04-06,TSLA,short,-0.5755057013
466,2020-04-06,F,short,-0.5666665607
551,2020-04-06,MSFT,short,-0.5778104048
609,2020-04-06,GOOG,short,-0.8240264344
66,2020-04-07,AAPL,short,0.4165613939
467,2020-04-07,F,short,-0.3125
252,2020-04-07,TSLA,short,-0.5598056043
552,2020-04-07,MSFT,short,0.4652793317
610,2020-04-07,GOOG,short,0.1376194109
468,2020-04-08,F,short,-0.6000006358
469,2020-04-09,F,short,-0.4374990687
253,2020-04-09,TSLA,short,-0.6241503307
254,2020-04-13,TSLA,short,-0.4388125529
67,2020-04-14,AAPL,short,-0.7111082792
255,2020-04-14,TSLA,short,-0.8638053536
470,2020-04-14,F,short,0
553,2020-04-14,MSFT,short,-0.7134668713
611,2020-04-14,GOOG,short,-0.7035982707
256,2020-04-15,TSLA,short,-0.003426219848
471,2020-04-15,F,long,-0.6521742736
408,2020-04-16,NFLX,short,-0.4741449123
257,2020-04-17,TSLA,short,-0.09050452213
472,2020-04-17,F,short,-0.3913049788
473,2020-04-20,F,long,-0.2727256964
258,2020-04-20,TSLA,long,0.5512021948
409,2020-04-20,NFLX,short,-0.6224400022
259,2020-04-21,TSLA,long,0.4291861825
260,2020-04-22,TSLA,short,-0.1152980803
474,2020-04-22,F,short,0.2
554,2020-04-22,MSFT,short,-0.840338538
612,2020-04-22,GOOG,short,-0.8787660896
475,2020-04-28,F,short,-0.1562492549
68,2020-04-29,AAPL,short,-0.8634142469
261,2020-04-29,TSLA,short,-0.6669844077
555,2020-04-29,MSFT,short,-0.6070414458
613,2020-04-29,GOOG,short,-0.8504498791
262,2020-04-30,TSLA,short,0.6768485045
69,2020-05-01,AAPL,long,0.6887515967
263,2020-05-01,TSLA,long,-0.3389144022
264,2020-05-05,TSLA,short,-0.03461512811
476,2020-05-05,F,short,-0.615385744
265,2020-05-11,TSLA,long,0.158422818
70,2020-05-15,AAPL,long,-0.1784573601
477,2020-05-18,F,short,-1
266,2020-05-18,TSLA,short,-0.1646279837
478,2020-05-26,F,short,-0.6296299567
267,2020-05-26,TSLA,short,0.0664045586
479,2020-05-27,F,short,0
268,2020-06-01,TSLA,short,-0.830435273
480,2020-06-08,F,short,-0.1578932839
269,2020-06-08,TSLA,short,-0.7048586479
481,2020-06-09,F,long,-0.2903226799
270,2020-06-10,TSLA,short,-0.8168320372
271,2020-06-11,TSLA,long,-0.1747470369
71,2020-06-12,AAPL,short,0.1904834069
482,2020-06-12,F,short,-0.3953491725
556,2020-06-12,MSFT,short,0.2552764811
483,2020-06-15,F,long,0.4285706987
